Exam,Section(s),Day,Day/Date,Start,Finish,Location,
ACTSC 221,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,PAC 1,
ACTSC 231,"001,002",Tuesday,"April 23, 2019",12:30 PM,3:00 PM,"PAC 1,2",
ACTSC 232,001,Saturday,"April 13, 2019",12:30 PM,3:00 PM,"PAC UPPER 9,10",
ACTSC 331,001,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,STC 0010,
ACTSC 371,001-002,Monday,"April 15, 2019",9:00 AM,11:30 AM,"DC 1350,1351",
ACTSC 372,001,Tuesday,"April 16, 2019",12:30 PM,3:00 PM,"STC 0010,0020",
ACTSC 431,001,Tuesday,"April 23, 2019",4:00 PM,6:30 PM,PAC 3,
ACTSC 433,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,DC 1351,
ACTSC 446,"001,002",Wednesday,"April 17, 2019",9:00 AM,11:30 AM,Sched Only,
ACTSC 453,001,Wednesday,"April 24, 2019",12:30 PM,3:00 PM,MC 4063,
ACTSC 455,001,Monday,"April 15, 2019",12:30 PM,3:00 PM,MC 4061,
ACTSC 471,001,Exam removed from schedule. Contact instructor for further information.,,,,,
ACTSC 833,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,DC 1351,
ACTSC 846,001,Wednesday,"April 17, 2019",9:00 AM,11:30 AM,Sched Only,
ACTSC 855,001,Monday,"April 15, 2019",12:30 PM,3:00 PM,MC 4061,
AFM 101,"001,002",Thursday,"April 25, 2019",9:00 AM,11:30 AM,"PAC 4,5,6,7",
AFM 102,001-005,Thursday,"April 11, 2019",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7",
AFM 121,001-004,Thursday,"April 18, 2019",7:30 PM,10:00 PM,Sched Only,
AFM 121,005-008,Thursday,"April 18, 2019",7:30 PM,10:00 PM,"PAC 1,2",
AFM 123,003,Tuesday,"April 23, 2019",4:00 PM,6:30 PM,"PAC 4,5,6,7,8",
AFM 131,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,"PAC UPPER 9,10",
AFM 131,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
AFM 231,001,Tuesday,"April 23, 2019",9:00 AM,11:00 AM,DC 1351,
AFM 323,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,PAC UPPER 11,
AFM 333,"001,002",Friday,"April 12, 2019",9:00 AM,11:30 AM,"MC 4020,4021",
AFM 362,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,MC 4063,
AFM 362,"002,003",Wednesday,"April 10, 2019",4:00 PM,6:30 PM,STC 0020,
AFM 373,001-003,Exam removed from schedule. Contact instructor for further information.,,,,,
AFM 391,001-003,Monday,"April 15, 2019",12:30 PM,3:00 PM,"STC 0010,0020",
AFM 433,"001,002",Wednesday,"April 10, 2019",9:00 AM,11:30 AM,Sched Only,
AFM 476,001,Exam removed from schedule. Contact instructor for further information.,,,,,
AFM 491,"001,002",Wednesday,"April 24, 2019",12:30 PM,3:00 PM,STC 0010,
AHS 150,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
AMATH 231,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,PAC 2,
AMATH 242,001,Thursday,"April 25, 2019",4:00 PM,6:30 PM,"PAC UPPER 9,10,11",
AMATH 250,"001,002",Monday,"April 22, 2019",9:00 AM,11:30 AM,M3 1006,
AMATH 331,001,Thursday,"April 25, 2019",9:00 AM,11:30 AM,PAC 3,
AMATH 332,001,Tuesday,"April 16, 2019",7:30 PM,10:00 PM,PAC 3,
AMATH 342,001,Tuesday,"April 16, 2019",12:30 PM,3:00 PM,Sched Only,
AMATH 350,001,Thursday,"April 25, 2019",12:30 PM,3:00 PM,"PAC UPPER 9,10",
AMATH 353,001,Tuesday,"April 23, 2019",9:00 AM,11:30 AM,Sched Only,
AMATH 361,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,MC 4063,
AMATH 373,001,Saturday,"April 13, 2019",9:00 AM,11:30 AM,Sched Only,
AMATH 383,001,Friday,"April 12, 2019",12:30 PM,3:00 PM,MC 4063,
AMATH 451,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,PAC UPPER 11,
AMATH 455,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,MC 4040,
AMATH 475,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,"MC 4020,4021",
AMATH 495,001,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,MC 4042,
AMATH 655,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,MC 4040,
AMATH 675,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,"MC 4020,4021",
ANTH 100,001,Wednesday,"April 24, 2019",7:30 PM,9:00 PM,Sched Only,
ANTH 201,001,Wednesday,"April 10, 2019",12:30 PM,3:00 PM,Sched Only,
ANTH 204,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,Sched Only,
ANTH 233,001,Tuesday,"April 23, 2019",9:00 AM,11:30 AM,Sched Only,
ANTH 321,001,Thursday,"April 11, 2019",7:30 PM,10:00 PM,Sched Only,
ARBUS 102,"001,002",Tuesday,"April 23, 2019",4:00 PM,6:30 PM,"PAC 4,5,6,7,8",
ARBUS 301,"001,002",Friday,"April 12, 2019",9:00 AM,11:30 AM,"MC 4020,4021",
ARTS 130,024,Exam removed from schedule. Contact instructor for further information.,,,,,
ASL 101R,001,Exam removed from schedule. Contact instructor for further information.,,,,,
BIOL 120,001,Thursday,"April 11, 2019",7:30 PM,10:00 PM,PAC 8,
BIOL 130,001,Thursday,"April 11, 2019",7:30 PM,10:00 PM,"PAC 1,2,3",
BIOL 165,001,Tuesday,"April 23, 2019",9:00 AM,11:30 AM,"PAC 1,2,3",
BIOL 211,001,Thursday,"April 25, 2019",4:00 PM,6:30 PM,"PAC 7,8",
BIOL 239,"001,002",Thursday,"April 18, 2019",12:30 PM,3:00 PM,"PAC 1.2.3.4.5.6.7.8, PAC UPPER 9,10,11",
BIOL 240,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
BIOL 241,001,Thursday,"April 25, 2019",12:30 PM,3:00 PM,"PAC 1,2,3",
BIOL 273,"001,002",Monday,"April 22, 2019",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8",
BIOL 273L,001-010,Wednesday,"April 17, 2019",12:30 PM,1:30 PM,"STC 1012,0060",
BIOL 280,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,Sched Only,
BIOL 302,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,"DC 1350,1351",
BIOL 331,001,Thursday,"April 18, 2019",4:00 PM,6:30 PM,STC 1012,
BIOL 341,001,Monday,"April 22, 2019",9:00 AM,11:30 AM,"PAC UPPER 9,10,11",
BIOL 346,001,Wednesday,"April 17, 2019",9:00 AM,11:30 AM,MC 4045,
BIOL 351,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,STC 0010,
BIOL 355,001,Monday,"April 22, 2019",4:00 PM,6:30 PM,"PAC 1,2,3",
BIOL 359,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,"PAC 1,2,3",
BIOL 360,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,"PAC 4,5,6,7",
BIOL 361,001,Monday,"April 22, 2019",4:00 PM,6:30 PM,"PAC 4,5",
BIOL 365,001,Tuesday,"April 23, 2019",7:30 PM,10:00 PM,DC 1350,
BIOL 371,001,Friday,"April 12, 2019",12:30 PM,3:00 PM,MC 4045,
BIOL 373,001,Wednesday,"April 24, 2019",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6",
BIOL 373L,001-007,Monday,"April 15, 2019",9:00 AM,10:00 AM,"STC 0040,0050,0060",
BIOL 383,001,Thursday,"April 18, 2019",12:30 PM,3:00 PM,MC 4020,
BIOL 428,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,MC 4058,
BIOL 431,001,Friday,"April 26, 2019",9:00 AM,11:30 AM,MC 4021,
BIOL 441,001,Wednesday,"April 17, 2019",9:00 AM,11:30 AM,MC 4064,
BIOL 442,001,Tuesday,"April 23, 2019",4:00 PM,6:30 PM,PAC UPPER 9,
BIOL 449,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,"MC 4059,4061",
BIOL 450,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,STC 1012,
BIOL 457,001,Exam removed from schedule. Contact instructor for further information.,,,,,
BIOL 465,001,Thursday,"April 25, 2019",4:00 PM,6:30 PM,PAC 3,
BIOL 484,001,Tuesday,"April 16, 2019",9:00 AM,11:30 AM,MC 4059,
BIOL 485,001,Saturday,"April 13, 2019",12:30 PM,3:00 PM,MC 4045,
BME 122,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,M3 1006,
BME 182,001,Monday,"April 15, 2019",12:30 PM,3:00 PM,Sched Only,
BME 186,001,Tuesday,"April 16, 2019",4:00 PM,6:30 PM,Sched Only,
BME 355,001,Monday,"April 15, 2019",7:30 PM,10:00 PM,Sched Only,
BME 361,001,Monday,"April 15, 2019",9:00 AM,11:30 AM,Sched Only,
BME 381,001,Thursday,"April 18, 2019",12:30 PM,3:00 PM,Sched Only,
BME 393,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,Sched Only,
BME 451,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,Sched Only,
BME 488,001,Wednesday,"April 17, 2019",12:30 PM,3:00 PM,Sched Only,
BME 489,001,Friday,"April 12, 2019",9:00 AM,11:30 AM,Sched Only,
BME 489,002,Wednesday,"April 10, 2019",4:00 PM,6:00 PM,STC 0010,
BUS  97W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 111W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 121W,,Saturday,"April 13, 2019",12:30 PM,3:00 PM,"PAC 3,7,8",
BUS 127W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 231W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 247W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 283W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 288W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 321W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 352W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 353W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 354W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 357W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 362W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 375W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 387W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 393W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 397W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 398W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 400W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 403W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 405W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 410W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 411W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 413W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 414W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 415W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 416W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 418W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 419W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 421W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 422W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 423W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 425W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 432W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 433W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 435W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 445W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 448W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 449W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 451W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 452W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
BUS 453W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,
