Exam,Section,Day,Date,"Start
Time","End
Time",Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 221,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 231,"001,002",Tuesday,"April 12, 2016",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 232,001,Tuesday,"April 12, 2016",4:00 PM,6:30 PM,"PAC 11,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 331,001,Tuesday,"April 19, 2016",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 371,001,Wednesday,"April 13, 2016",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 372,001,Monday,"April 11, 2016",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 433,001,Monday,"April 18, 2016",7:30 PM,10:00 PM,PAC 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 446,"001,002",Wednesday,"April 13, 2016",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 455,001,Monday,"April 11, 2016",12:30 PM,3:00 PM,MC 2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 462,001,Thursday,"April 14, 2016",4:00 PM,6:30 PM,MC 1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 833,001,Monday,"April 18, 2016",7:30 PM,10:00 PM,PAC 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 846,001,Wednesday,"April 13, 2016",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTSC 855,001,Monday,"April 11, 2016",12:30 PM,3:00 PM,MC 2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 101,"001,002",Wednesday,"April 20, 2016",7:30 PM,10:00 PM,"PAC 4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 102,001 to 004,Monday,"April 11, 2016",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 121,001 to 007,Monday,"April 18, 2016",12:30 PM,2:00 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 123,003,Tuesday,"April 19, 2016",12:30 PM,3:00 PM,"PAC 4,5,6,7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 131,001,Thursday,"April 21, 2016",9:00 AM,11:30 AM,MC 1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 131,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 231,001,Saturday,"April 9, 2016",12:30 PM,2:30 PM,M3 1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 323,001,Monday,"April 18, 2016",7:30 PM,10:00 PM,PAC 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 333,"001,002",Thursday,"April 14, 2016",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 341,"001,002",Friday,"April 8, 2016",12:30 PM,3:00 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 362,"001,002",Wednesday,"April 20, 2016",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 372,001,Friday,"April 22, 2016",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 373,"001,002",Tuesday,"April 12, 2016",12:30 PM,3:00 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 391,"001,002",Friday,"April 15, 2016",7:30 PM,10:00 PM,PAC 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 423,001,Saturday,"April 16, 2016",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 424,"001,002",Wednesday,"April 20, 2016",9:00 AM,11:30 AM,RCH 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 433,"001,002",Monday,"April 11, 2016",12:30 PM,3:00 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 475,001,Wednesday,"April 13, 2016",9:00 AM,11:30 AM,MC 4064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 476,001,Tuesday,"April 12, 2016",12:30 PM,3:00 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM 491,"001,002",Monday,"April 18, 2016",9:00 AM,11:30 AM,PAC 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHS 150,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 231,001,Monday,"April 11, 2016",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 242,001,Friday,"April 22, 2016",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 250,"001,002",Thursday,"April 21, 2016",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 331,001,Wednesday,"April 20, 2016",4:00 PM,6:30 PM,MC 4059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 332,001,Friday,"April 8, 2016",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 342,001,Friday,"April 15, 2016",9:00 AM,11:30 AM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 350,001,Tuesday,"April 12, 2016",7:30 PM,10:00 PM,"MC 4059,4061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 353,001,Saturday,"April 16, 2016",9:00 AM,11:30 AM,PAC 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 361,001,Tuesday,"April 12, 2016",9:00 AM,11:30 AM,MC 4058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 373,001,Wednesday,"April 13, 2016",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 451,001,Wednesday,"April 20, 2016",9:00 AM,11:30 AM,RCH 207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 455,001,Wednesday,"April 13, 2016",4:00 PM,6:30 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 475,001,Wednesday,"April 20, 2016",4:00 PM,6:30 PM,MC 4061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 655,001,Wednesday,"April 13, 2016",4:00 PM,6:30 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMATH 675,001,Wednesday,"April 20, 2016",4:00 PM,6:30 PM,MC 4061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 100,001,Thursday,"April 21, 2016",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 201,001,Tuesday,"April 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 202,001,Friday,"April 22, 2016",7:30 PM,10:00 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 321,001,Tuesday,"April 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 348,001,Tuesday,"April 19, 2016",9:00 AM,11:30 AM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBUS 102,"001,002",Tuesday,"April 19, 2016",12:30 PM,3:00 PM,"PAC 4,5,6,7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBUS 202,001,Thursday,"April 14, 2016",4:00 PM,6:30 PM,"PAC 4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBUS 202,002,Thursday,"April 14, 2016",4:00 PM,6:30 PM,"PAC 11,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBUS 202,003,Thursday,"April 14, 2016",4:00 PM,6:30 PM,PAC 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBUS 300,"001,002",Wednesday,"April 20, 2016",9:00 AM,11:30 AM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBUS 301,"001,002",Thursday,"April 14, 2016",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTS 280,001,Friday,"April 22, 2016",9:00 AM,10:30 AM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 101,001,Saturday,"April 9, 2016",12:30 PM,3:00 PM,MC 4042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 120,001,Tuesday,"April 19, 2016",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 130,001,Monday,"April 18, 2016",12:30 PM,3:00 PM,"PAC 9,10,11,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 165,001,Wednesday,"April 20, 2016",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 211,001,Monday,"April 11, 2016",9:00 AM,11:30 AM,"MC 4059,4060,4061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 239,"001,002",Thursday,"April 14, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 241,001,Saturday,"April 16, 2016",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 273,"001,002",Monday,"April 18, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 273L,001 to 009,Tuesday,"April 19, 2016",4:00 PM,5:00 PM,"DC 1350,1351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 280,001,Monday,"April 11, 2016",7:30 PM,10:00 PM,MC 4045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 302,001,Thursday,"April 21, 2016",12:30 PM,3:00 PM,"DC 1350,1351, MC 1085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 331,001,Wednesday,"April 20, 2016",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 335L,"001,002",Friday,"April 22, 2016",12:30 PM,3:00 PM,MC 4059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 341,001,Friday,"April 22, 2016",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 346,001,Monday,"April 18, 2016",12:30 PM,3:00 PM,MC 4020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 351,001,Wednesday,"April 13, 2016",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 359,001,Friday,"April 8, 2016",7:30 PM,10:00 PM,"PAC 4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 360,001,Thursday,"April 14, 2016",7:30 PM,10:00 PM,"PAC 6,7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 361,001,Tuesday,"April 19, 2016",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 365,001,Tuesday,"April 12, 2016",9:00 AM,11:30 AM,"MC 2017,2054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 371,001,Friday,"April 15, 2016",4:00 PM,6:30 PM,MC 2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 373,001,Monday,"April 18, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 373L,001 to 007,Friday,"April 22, 2016",4:00 PM,5:00 PM,"DC 1350,1351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 383,001,Monday,"April 11, 2016",12:30 PM,3:00 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 428,001,Friday,"April 8, 2016",12:30 PM,3:00 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 431,001,Monday,"April 11, 2016",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 432,001,Friday,"April 15, 2016",4:00 PM,6:30 PM,"MC 2034,2035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 442,001,Tuesday,"April 12, 2016",7:30 PM,10:00 PM,MC 4045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 449,001,Saturday,"April 16, 2016",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 450,001,Friday,"April 8, 2016",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 457,001,Thursday,"April 14, 2016",12:30 PM,3:00 PM,PAC 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 467,001,Friday,"April 22, 2016",9:00 AM,11:30 AM,MC 4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 477L,001,Tuesday,"April 12, 2016",12:30 PM,1:30 PM,RCH 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 484,001,Wednesday,"April 13, 2016",7:30 PM,10:00 PM,MC 4059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BME 122,001,Friday,"April 15, 2016",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BME 182,001,Tuesday,"April 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BME 184,001,Monday,"April 11, 2016",12:30 PM,3:00 PM,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 111W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 121W,,Saturday,"April 9, 2016",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 127W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 231W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 247W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 283W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 321W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 352W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 353W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 354W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 357W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS 362W,,See http://legacy.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
